Protocol,Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir
Fold-local PLS-DA classifier,All_coef,left,PLSDA_classifier,0.7812790526985369,0.7812790526985369,0.72,0.7164351851851851,0.7037037037037037,0.7291666666666666,0.7066492829204694,0.7669753086419753,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef\left\20260919_191346
Fold-local PLS-DA classifier,All_coef,right,PLSDA_classifier,0.8028270509977827,0.8134061354982398,0.8266666666666667,0.8022727272727272,0.75,0.8545454545454545,0.7880895457509237,0.8854545454545455,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef\right\20260919_191346
Fold-local PLS-DA classifier,All_coef_Ds004469,left,PLSDA_classifier,0.43084260731319557,0.43157894736842106,0.5833333333333334,0.35,0.0,0.7,0.36842105263157887,0.09999999999999998,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef_Ds004469\left\20260919_191347
Fold-local PLS-DA classifier,All_coef_Ds004469,right,PLSDA_classifier,0.6363636363636364,0.6708074534161491,0.8333333333333334,0.45454545454545453,0.0,0.9090909090909091,0.45454545454545453,0.18181818181818177,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef_Ds004469\right\20260919_191347
Fold-local PLS-DA classifier,All_coef_Ds005602,left,PLSDA_classifier,0.8119047619047619,0.8111828963233574,0.7936507936507936,0.7947368421052632,0.8,0.7894736842105263,0.7883173946756269,0.8642105263157894,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef_Ds005602\left\20260919_191347
Fold-local PLS-DA classifier,All_coef_Ds005602,right,PLSDA_classifier,0.8493828137363506,0.8583847903802405,0.8412698412698413,0.8415071770334928,0.8421052631578947,0.8409090909090909,0.8214285714285714,0.9270334928229665,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\plsda_classifier_runs_10fold_seed123\All_coef_Ds005602\right\20260919_191348
